"TemplateType=Sports","Version=1.1/1.0.14","This row for Amazon.com use only.  Do not modify or delete.",,,,,,,,,,,,"Offer Information - These attributes are required to make your item buyable for customers on the site",,,,,,,,,,,,,,,,,,,,,,"Sales Price information",,,"Item discovery information - These attributes have an effect on how customers can find your product on the site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image Information - see Image Info tab for details.",,,,,,,,,,"Variation information",,,,"Information for all product types:",,"FBA - make use of these columns if you are participating in the ""Fulfillment by Amazon"" program",,,,,,,,"Other attributes for Golf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other attributes for all SportingGoods categories",,,,,,,,,,,,,,,,,,,,"Product Dimensions",,,,,,,,,,,,"Price per unit",,"Battery Information",,,,,,,,,,,,,,,,,,,,"Common infrequently used attributes ",,,,
"SKU","ProductID","product-id-type","ProductName","ProductDescription","Manufacturer","ManufacturerPartNumber","BulletPoint1","BulletPoint2","BulletPoint3","BulletPoint4","BulletPoint5","ProductType","Brand","ItemPrice","Currency","ConditionType","ConditionNote","Quantity","MSRP","MAP","LaunchDate","ReleaseDate","RestockDate","LeadtimeToShip","ShippingWeight","ShippingWeightUnitOfMeasure","ProductTaxCode","Warranty","SellerWarrantyDescription","Prop65","CPSIAWarning1","CPSIAWarning2","CPSIAWarning3","CPSIAWarning4","CPSIAWarningDescription","SalesPrice","SaleStartDate","SaleEndDate","ItemType","UsedFor1","UsedFor2","UsedFor3","UsedFor4","UsedFor5","TargetAudience1","TargetAudience2","TargetAudience3","OtherItemAttributes1","OtherItemAttributes2","OtherItemAttributes3","OtherItemAttributes4","OtherItemAttributes5","SubjectContent1","SubjectContent2","SubjectContent3","SubjectContent4","SubjectContent5","SearchTerm1","SearchTerm2","SearchTerm3","SearchTerm4","SearchTerm5","PlatinumKeyword1","PlatinumKeyword2","PlatinumKeyword3","PlatinumKeyword4","PlatinumKeyword5","MainImageURL","SwatchImageURL","OtherImageURL1","OtherImageURL2","OtherImageURL3","OtherImageURL4","OtherImageURL5","OtherImageURL6","OtherImageURL7","OtherImageURL8","Parentage","ParentSKU","RelationshipType","VariationTheme","Color","ColorMap","FulfillmentCenterID","PackageHeight","PackageWidth","PackageLength","PackageLengthUnitOfMeasure","PackageWeight","PackageWeightUnitOfMeasure","MaxAggregateShipQuantity","GolfFlex","GolfLoft","GripSize","GripType","Hand","ShaftLength","ShaftLengthUnitOfMeasurement","ShaftMaterial","Wattage","EngineDisplacement","EngineDisplacementUnitOfMeasure","GripMaterialType","OperationMode","DisplayType","Resolution","ScreenSize","ScreenSizeUnitOfMeasure","PowerSource","MaximumUserWeight","MaximumUserWeightUnitOfMeasure","DisplayFeatures","UsageCapacity","UsageCapacityUnitOfMeasure","NumberOfLevels","WhatsInTheBox","CourseCapacity","AvailableCourses","ScreenColor","ThreadSize","LoadCapacity","LoadCapacityUnitOfMeasure","PositionAccuracy","Memory","MemoryUnitOfMeasure","DisplaySize","DisplaySizeUnitOfMeasure","Pixels","CompatibleDevices","MinimumWeightRecommendation","MinimumWeightRecommendationUnitOfMeasure","MaxWeightRecommendation","MaxWeightRecommendationUnitOfMeasure","CoverageArea","CoverageAreaUnitOfMeasure","PeakHeight","PeakHeightUnitOfMeasure","MaximumWeight","MaximumWeightUnitOfMeasure","Capability","ClosureType","Construction","CountryOfOrigin","Design","EventName","FabricType","SpecialFeatures","Functions","LegalDisclaimer","Material","PackageQuantity","Packaging","Season","SizeMap","SizeName","SkillLevel","Sport","StyleName","SpecificUsageForProduct","Diameter","DiameterUnitOfMeasurement","Height","HeightUnitOfMeasurement","Length","LengthUnitOfMeasurement","Width","WidthUnitOfMeasurement","ItemThickness","ItemThicknessUnitOfMeasurement","Weight","WeightUnitOfMeasurement","PPUCount","PPUCountType","AreBatteriesIncluded","AreBatteriesRequired","BatteryType1","BatteryType2","BatteryType3","NumberOfBatteries1","NumberOfBatteries2","NumberOfBatteries3","BatteryLife1","BatteryLife2","BatteryLife3","BatteryLifeUnitOfMeasure1","BatteryLifeUnitOfMeasure2","BatteryLifeUnitOfMeasure3","LithiumBatteryEnergyContent","LithiumBatteryPackaging","LithiumBatteryVoltage","LithiumBatteryWeight","NumberOfLithiumIonCells","NumberOfLithiumMetalCells","IsGiftMessageAvailable","IsGiftWrapAvailable","IsDiscontinuedByManufacturer","RegisteredParameter","UpdateDelete"
"TE-HTMXD-HY-MN",,,"Tour Edge Men's Bazooka HT Max-D Hybrid","This classic pear-shaped Tour Edge Men's Bazooka HT Max-D hybrid offers stunning good looks, an aerodynamic design and advanced weighting to deliver a higher moment of inertia (MOI, the club’s ability to resist twisting and impart greater force). The Bazooka features two internal weight cavities in the heel and toe that lower the center of gravity and move it deeper in the club head for a high launch and great forgiveness.
Helping you hit longer, better feeling shots, the HT Max-D has an ultra-thin, forged face compliments of crown-pull technology that minimizes thickness and maximizes strength. Add a maraging steel head with an oversized sweet spot and you have a hybrid that is capable of delivering some of the most consistent and accurate shots you’ve ever hit.","Tour Edge",,"Aerodynamic head design increases club head speed on every shot.","Ultra-thin forged face delivers powerful distance from more contact points.","Tour Edge Aldila NV-65 shaft delivers outstanding launch characteristics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHLGA02",845678067753,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Left Hand, #2, Senior, Aldila NV 65 Graphite)",,"Tour Edge","HDHLGA02",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Senior",17,,,"Left",40.5,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHLGR02",845678067852,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Left Hand, #2, Regular, Aldila NV 65 Graphite)",,"Tour Edge","HDHLGR02",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Regular",17,,,"Left",40.5,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHLGS06",845678067944,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Left Hand, #6, Stiff, Aldila NV 65 Graphite)",,"Tour Edge","HDHLGS06",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Stiff",28,,,"Left",37.75,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHRGR02",845678068101,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Right Hand, #2, Regular, Aldila NV 65 Graphite)",,"Tour Edge","HDHRGR02",,,,,,,"Tour Edge",99.99,"USD","new",,3,,99.99,,,,3,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Regular",17,,,"Right",40.5,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHRGR06",845678068149,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Right Hand, #6, Regular, Aldila NV 65 Graphite)",,"Tour Edge","HDHRGR06",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Regular",28,,,"Right",37.75,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHRGS02",845678068156,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Right Hand, #2, Stiff, Aldila NV 65 Graphite)",,"Tour Edge","HDHRGS02",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Stiff",17,,,"Right",40.5,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHRGS03",845678067609,"UPC","Tour Edge Men's Bazooka HT Max-D Hybrid (Right Hand, #3, Stiff, Aldila NV 65 Graphite)",,"Tour Edge","HDHRGS03",,,,,,,"Tour Edge",99.99,"USD","new",,3,,99.99,,,,3,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-MN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Stiff",19,,,"Right",39.75,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TE-HTMXD-HY-WMN",,,"Tour Edge Ladies Bazooka HT Max-D Hybrid","This classic pear-shaped Bazooka HT Max-D hybrid offers stunning good looks, an aerodynamic design and advanced weighting to deliver a higher moment of inertia (MOI, the club’s ability to resist twisting and impart greater force). The Bazooka features two internal weight cavities in the heel and toe that lower the center of gravity and move it deeper in the club head for a high launch and great forgiveness.
Helping you hit longer, better feeling shots, the HT Max-D has an ultra-thin, forged face compliments of crown-pull technology that minimizes thickness and maximizes strength. Add a maraging steel head with an oversized sweet spot and you have a hybrid that is capable of delivering some of the most consistent and accurate shots you’ve ever hit.","Tour Edge",,"Aerodynamic head design increases club head speed on every shot.","Ultra-thin forged face delivers powerful distance from more contact points.","Tour Edge Aldila NV-65 shaft delivers outstanding launch characteristics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Womens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHLGL02",845678067807,"UPC","Tour Edge Ladies Bazooka HT Max-D Hybrid (Left Hand, #2, Women, Aldila NV 65 Graphite)",,"Tour Edge","HDHLGL02",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Womens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-WMN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Women",17,,,"Left",39.5,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
