"SKU","ProductID","product-id-type","ProductName","ProductDescription","Manufacturer","ManufacturerPartNumber","BulletPoint1","BulletPoint2","BulletPoint3","BulletPoint4","BulletPoint5","ProductType","Brand","ItemPrice","Currency","ConditionType","ConditionNote","Quantity","MSRP","MAP","LaunchDate","ReleaseDate","RestockDate","LeadtimeToShip","ShippingWeight","ShippingWeightUnitOfMeasure","ProductTaxCode","Warranty","SellerWarrantyDescription","Prop65","CPSIAWarning1","CPSIAWarning2","CPSIAWarning3","CPSIAWarning4","CPSIAWarningDescription","SalesPrice","SaleStartDate","SaleEndDate","ItemType","UsedFor1","UsedFor2","UsedFor3","UsedFor4","UsedFor5","TargetAudience1","TargetAudience2","TargetAudience3","OtherItemAttributes1","OtherItemAttributes2","OtherItemAttributes3","OtherItemAttributes4","OtherItemAttributes5","SubjectContent1","SubjectContent2","SubjectContent3","SubjectContent4","SubjectContent5","SearchTerm1","SearchTerm2","SearchTerm3","SearchTerm4","SearchTerm5","PlatinumKeyword1","PlatinumKeyword2","PlatinumKeyword3","PlatinumKeyword4","PlatinumKeyword5","MainImageURL","SwatchImageURL","OtherImageURL1","OtherImageURL2","OtherImageURL3","OtherImageURL4","OtherImageURL5","OtherImageURL6","OtherImageURL7","OtherImageURL8","Parentage","ParentSKU","RelationshipType","VariationTheme","Color","ColorMap","FulfillmentCenterID","PackageHeight","PackageWidth","PackageLength","PackageLengthUnitOfMeasure","PackageWeight","PackageWeightUnitOfMeasure","MaxAggregateShipQuantity","GolfFlex","GolfLoft","GripSize","GripType","Hand","ShaftLength","ShaftLengthUnitOfMeasurement","ShaftMaterial","Wattage","EngineDisplacement","EngineDisplacementUnitOfMeasure","GripMaterialType","OperationMode","DisplayType","Resolution","ScreenSize","ScreenSizeUnitOfMeasure","PowerSource","MaximumUserWeight","MaximumUserWeightUnitOfMeasure","DisplayFeatures","UsageCapacity","UsageCapacityUnitOfMeasure","NumberOfLevels","WhatsInTheBox","CourseCapacity","AvailableCourses","ScreenColor","ThreadSize","LoadCapacity","LoadCapacityUnitOfMeasure","PositionAccuracy","Memory","MemoryUnitOfMeasure","DisplaySize","DisplaySizeUnitOfMeasure","Pixels","CompatibleDevices","MinimumWeightRecommendation","MinimumWeightRecommendationUnitOfMeasure","MaxWeightRecommendation","MaxWeightRecommendationUnitOfMeasure","CoverageArea","CoverageAreaUnitOfMeasure","PeakHeight","PeakHeightUnitOfMeasure","MaximumWeight","MaximumWeightUnitOfMeasure","Capability","ClosureType","Construction","CountryOfOrigin","Design","EventName","FabricType","SpecialFeatures","Functions","LegalDisclaimer","Material","PackageQuantity","Packaging","Season","SizeMap","SizeName","SkillLevel","Sport","StyleName","SpecificUsageForProduct","Diameter","DiameterUnitOfMeasurement","Height","HeightUnitOfMeasurement","Length","LengthUnitOfMeasurement","Width","WidthUnitOfMeasurement","ItemThickness","ItemThicknessUnitOfMeasurement","Weight","WeightUnitOfMeasurement","PPUCount","PPUCountType","AreBatteriesIncluded","AreBatteriesRequired","BatteryType1","BatteryType2","BatteryType3","NumberOfBatteries1","NumberOfBatteries2","NumberOfBatteries3","BatteryLife1","BatteryLife2","BatteryLife3","BatteryLifeUnitOfMeasure1","BatteryLifeUnitOfMeasure2","BatteryLifeUnitOfMeasure3","LithiumBatteryEnergyContent","LithiumBatteryPackaging","LithiumBatteryVoltage","LithiumBatteryWeight","NumberOfLithiumIonCells","NumberOfLithiumMetalCells","IsGiftMessageAvailable","IsGiftWrapAvailable","IsDiscontinuedByManufacturer","RegisteredParameter","UpdateDelete"
"GI7114-001",,,"Nike SQ MachSpeed Iron Set 4-AW Steel Right Hand","SQ Technology packed into a refined profile. The ultimate combination of built-in forgiveness with a hotter impact zone, Nike PowerBow weighting, and forged carbon steel body to deliver performance, feel and maximum distance.","Nike",,"A radical new construction method combined with a hot, thin alloy face creates the fastest Nike iron ever. Faster ball speeds off the face means more distance.","The combination of AM355 stainless alloy and an off-the-face weld construction creates a thinner, hotter face and wider sweet zone. This new construction offers an extremely hot center area, but also expands to lower on the face where the ball is more to be in contact.","The Nike PowerBow creates extreme deep CG. This provides a wider sweet spot and higher trajectory.","The deep undercut repositions 50 grams of weight low and back to the Nike PowerBow for high launching shots that travel far and land softly. ",,,"Nike",,,,,,,,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlex",,,,,,,,,,,,,,,"right",,,"Dynalite 90 by True Temper (Steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7114-001-R","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Steel Right Hand Regular",,"Nike","GI7114-001-R",,,,,,,"Nike",499.99,"USD","new",,5,839.99,499.99,,,,3,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7114-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Regular",,,,"right",,,"Dynalite 90 by True Temper (Steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7114-001-S","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Steel Right Hand Stiff",,"Nike","GI7114-001-S",,,,,,,"Nike",499.99,"USD","new",,5,839.99,499.99,,,,3,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7114-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Stiff",,,,"right",,,"Dynalite 90 by True Temper (Steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7114-001-X","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Steel Right Hand Extra Stiff",,"Nike","GI7114-001-X",,,,,,,"Nike",499.99,"USD","new",,0,839.99,499.99,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7114-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"X-Stiff",,,,"right",,,"Dynalite 90 by True Temper (Steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7129-001",,,"Nike SQ MachSpeed Iron Set 4-AW Graphite Right Hand","SQ Technology packed into a refined profile. The ultimate combination of built-in forgiveness with a hotter impact zone, Nike PowerBow weighting, and forged carbon steel body to deliver performance, feel and maximum distance.","Nike",,"A radical new construction method combined with a hot, thin alloy face creates the fastest Nike iron ever. Faster ball speeds off the face means more distance.","The combination of AM355 stainless alloy and an off-the-face weld construction creates a thinner, hotter face and wider sweet zone. This new construction offers an extremely hot center area, but also expands to lower on the face where the ball is more to be in contact.","The Nike PowerBow creates extreme deep CG. This provides a wider sweet spot and higher trajectory.","The deep undercut repositions 50 grams of weight low and back to the Nike PowerBow for high launching shots that travel far and land softly. ",,,"Nike",,,,,,,,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlex",,,,,,,,,,,,,,,"right",,,"SQ Proforce Axivcore (Graphite)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7129-001-R","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Graphite Right Hand Regular",,"Nike","GI7129-001-R",,,,,,,"Nike",599.99,"USD","new",,5,959.99,599.99,,,,3,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7129-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Regular",,,,"right",,,"SQ Proforce Axivcore (Graphite)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7129-001-S","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Graphite Right Hand Stiff",,"Nike","GI7129-001-S",,,,,,,"Nike",599.99,"USD","new",,1,959.99,599.99,,,,3,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7129-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Stiff",,,,"right",,,"SQ Proforce Axivcore (Graphite)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7129-001-A","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Graphite Right Hand Senior",,"Nike","GI7129-001-A",,,,,,,"Nike",599.99,"USD","new",,5,959.99,599.99,,,,3,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7129-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Senior",,,,"right",,,"SQ Proforce Axivcore (Graphite)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7144-001",,,"Nike SQ MachSpeed Iron Set 4-AW Steel Left Hand","SQ Technology packed into a refined profile. The ultimate combination of built-in forgiveness with a hotter impact zone, Nike PowerBow weighting, and forged carbon steel body to deliver performance, feel and maximum distance.","Nike",,"A radical new construction method combined with a hot, thin alloy face creates the fastest Nike iron ever. Faster ball speeds off the face means more distance.","The combination of AM355 stainless alloy and an off-the-face weld construction creates a thinner, hotter face and wider sweet zone. This new construction offers an extremely hot center area, but also expands to lower on the face where the ball is more to be in contact.","The Nike PowerBow creates extreme deep CG. This provides a wider sweet spot and higher trajectory.","The deep undercut repositions 50 grams of weight low and back to the Nike PowerBow for high launching shots that travel far and land softly. ",,,"Nike",,,,,,,,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlex",,,,,,,,,,,,,,,"left",,,"Dynalite 90 by True Temper (Steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GI7144-001-R","8.85E+11","UPC","Nike SQ MachSpeed Iron Set 4-AW Steel Left Hand Regular",,"Nike","GI7144-001-R",,,,,,,"Nike",499.99,"USD","new",,3,839.99,499.99,,,,3,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","GI7144-001","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Regular",,,,"left",,,"Dynalite 90 by True Temper (Steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
